,cross_val,is_stand,fold,k,weight,metric,acc,f1
1038,StratifiedKFold,False,2,6,uniform,euclidean,0.9608585858585859,0.9626569199295324
1039,StratifiedKFold,False,2,6,uniform,manhattan,0.9661616161616162,0.9674054023000158
1040,StratifiedKFold,False,2,6,distance,euclidean,0.9607323232323233,0.9624936598000449
1041,StratifiedKFold,False,2,6,distance,manhattan,0.9607323232323233,0.9617334650117471
1042,StratifiedKFold,False,2,6,mma,euclidean,0.9664141414141414,0.9676955513388151
1043,StratifiedKFold,False,2,6,mma,manhattan,0.9773989898989899,0.9778316189484693
1044,StratifiedKFold,False,2,7,uniform,euclidean,0.9719696969696969,0.972226535998987
1045,StratifiedKFold,False,2,7,uniform,manhattan,0.9609848484848484,0.9625248338208914
1046,StratifiedKFold,False,2,7,distance,euclidean,0.9718434343434343,0.9729075391611808
1047,StratifiedKFold,False,2,7,distance,manhattan,0.9832070707070707,0.9846214334578136
1048,StratifiedKFold,False,2,7,mma,euclidean,0.9719696969696969,0.972226535998987
1049,StratifiedKFold,False,2,7,mma,manhattan,0.9830808080808081,0.9831230415298131
1050,StratifiedKFold,False,2,8,uniform,euclidean,0.9549242424242425,0.9563969418569731
1051,StratifiedKFold,False,2,8,uniform,manhattan,0.9603535353535353,0.9630012216154067
1052,StratifiedKFold,False,2,8,distance,euclidean,0.9662878787878788,0.9683975125849604
1053,StratifiedKFold,False,2,8,distance,manhattan,0.9832070707070707,0.9838641765624588
1054,StratifiedKFold,False,2,8,mma,euclidean,0.9551767676767677,0.95596232073314
1055,StratifiedKFold,False,2,8,mma,manhattan,0.9609848484848484,0.9625248338208914
1056,StratifiedKFold,False,2,9,uniform,euclidean,0.9606060606060607,0.9623017384223967
1057,StratifiedKFold,False,2,9,uniform,manhattan,0.9494949494949495,0.9513602253791644
1058,StratifiedKFold,False,2,9,distance,euclidean,0.9492424242424242,0.9517220447864356
1059,StratifiedKFold,False,2,9,distance,manhattan,0.9832070707070707,0.9838641765624588
1060,StratifiedKFold,False,2,9,mma,euclidean,0.9662878787878788,0.9670217065672737
1061,StratifiedKFold,False,2,9,mma,manhattan,0.9776515151515152,0.9787356008639064
1062,StratifiedKFold,False,2,10,uniform,euclidean,0.9549242424242425,0.9578425537151243
1063,StratifiedKFold,False,2,10,uniform,manhattan,0.9720959595959596,0.9745390940704457
1064,StratifiedKFold,False,2,10,distance,euclidean,0.9608585858585859,0.9618308343659583
1065,StratifiedKFold,False,2,10,distance,manhattan,0.9772727272727273,0.9783009080432967
1066,StratifiedKFold,False,2,10,mma,euclidean,0.9602272727272727,0.9604642473494933
1067,StratifiedKFold,False,2,10,mma,manhattan,0.9718434343434343,0.9734421484851363
1068,StratifiedKFold,False,2,15,uniform,euclidean,0.9606060606060607,0.9622768266014634
1069,StratifiedKFold,False,2,15,uniform,manhattan,0.9775252525252525,0.9779763141711255
1070,StratifiedKFold,False,2,15,distance,euclidean,0.9776515151515152,0.9787356008639064
1071,StratifiedKFold,False,2,15,distance,manhattan,0.9606060606060607,0.9616526862349343
1072,StratifiedKFold,False,2,15,mma,euclidean,0.9606060606060607,0.9616526862349343
1073,StratifiedKFold,False,2,15,mma,manhattan,0.9494949494949495,0.9520450698871388
1074,StratifiedKFold,False,2,20,uniform,euclidean,0.9773989898989899,0.9785007390555285
1075,StratifiedKFold,False,2,20,uniform,manhattan,0.9550505050505051,0.9572993694056313
1076,StratifiedKFold,False,2,20,distance,euclidean,0.9664141414141414,0.9670248875930909
1077,StratifiedKFold,False,2,20,distance,manhattan,0.9608585858585859,0.9632866455039727
1078,StratifiedKFold,False,2,20,mma,euclidean,0.9717171717171718,0.9721905512957663
1079,StratifiedKFold,False,2,20,mma,manhattan,0.9550505050505051,0.9571591179939436
1080,StratifiedKFold,False,2,25,uniform,euclidean,0.9664141414141414,0.9676955513388151
1081,StratifiedKFold,False,2,25,uniform,manhattan,0.9664141414141414,0.9684006936107776
1082,StratifiedKFold,False,2,25,distance,euclidean,0.9717171717171718,0.9725971093992336
1083,StratifiedKFold,False,2,25,distance,manhattan,0.9547979797979798,0.9562361082719708
1084,StratifiedKFold,False,2,25,mma,euclidean,0.9718434343434343,0.9726848915897817
1085,StratifiedKFold,False,2,25,mma,manhattan,0.9607323232323233,0.9624386072837094
1086,StratifiedKFold,False,2,30,uniform,euclidean,0.9551767676767677,0.9572996065729122
1087,StratifiedKFold,False,2,30,uniform,manhattan,0.9660353535353536,0.967236440923811
1088,StratifiedKFold,False,2,30,distance,euclidean,0.9660353535353536,0.967236440923811
1089,StratifiedKFold,False,2,30,distance,manhattan,0.9606060606060607,0.9624938829286656
1090,StratifiedKFold,False,2,30,mma,euclidean,0.9664141414141414,0.9670248875930909
1091,StratifiedKFold,False,2,30,mma,manhattan,0.966540404040404,0.9677186967572916
1092,StratifiedKFold,False,3,1,uniform,euclidean,0.9545977011494253,0.9558017938496187
