,cross_val,is_stand,fold,k,weight,metric,acc,f1
188,KFold,True,5,4,distance,euclidean,0.7278584160937102,0.6924878270790861
189,KFold,True,5,4,distance,manhattan,0.7135727018079959,0.6726731749202153
190,KFold,True,5,4,mma,euclidean,0.7304727951786776,0.6912369370741586
191,KFold,True,5,4,mma,manhattan,0.7083099906629319,0.6685062151615564
192,KFold,True,5,5,uniform,euclidean,0.7448009506833037,0.7063771748578952
193,KFold,True,5,5,uniform,manhattan,0.7239283592224769,0.6765033165279905
194,KFold,True,5,5,distance,euclidean,0.7213818860877684,0.6771416207462018
195,KFold,True,5,5,distance,manhattan,0.7174603174603175,0.6752095789250685
196,KFold,True,5,5,mma,euclidean,0.7278414396061454,0.6871690778645695
197,KFold,True,5,5,mma,manhattan,0.726585179526356,0.681514823353853
198,KFold,True,5,6,uniform,euclidean,0.7135132841015194,0.6470689456966446
199,KFold,True,5,6,uniform,manhattan,0.7395637042695866,0.6754987791023946
200,KFold,True,5,6,distance,euclidean,0.7226041931924285,0.6830281220446565
201,KFold,True,5,6,distance,manhattan,0.7135217723453018,0.668450877677432
202,KFold,True,5,6,mma,euclidean,0.7525931584755114,0.7151220656944953
203,KFold,True,5,6,mma,manhattan,0.7279093455564044,0.6836288670783554
204,KFold,True,5,7,uniform,euclidean,0.7343434343434343,0.692843630146063
205,KFold,True,5,7,uniform,manhattan,0.7291910703675409,0.6791562669309498
206,KFold,True,5,7,distance,euclidean,0.7292759528053645,0.6923937738022001
207,KFold,True,5,7,distance,manhattan,0.7161276631864867,0.6693952379364991
208,KFold,True,5,7,mma,euclidean,0.7278159748747984,0.6862071779164286
209,KFold,True,5,7,mma,manhattan,0.7213564213564213,0.6702523097586995
210,KFold,True,5,8,uniform,euclidean,0.7317714964773788,0.6772901492743079
211,KFold,True,5,8,uniform,manhattan,0.7160937102113573,0.6533530508583969
212,KFold,True,5,8,distance,euclidean,0.7422205245734658,0.7054845515814565
213,KFold,True,5,8,distance,manhattan,0.733044733044733,0.686268158555203
214,KFold,True,5,8,mma,euclidean,0.7343688990747814,0.6948059284625928
215,KFold,True,5,8,mma,manhattan,0.7526016467192937,0.7159523505925739
216,KFold,True,5,9,uniform,euclidean,0.7447754859519565,0.7025535539384243
217,KFold,True,5,9,uniform,manhattan,0.7343009931245226,0.6868197055736182
218,KFold,True,5,9,distance,euclidean,0.7382904677022324,0.6971289677247462
219,KFold,True,5,9,distance,manhattan,0.7447839741957389,0.696647723405864
220,KFold,True,5,9,mma,euclidean,0.7278669043374926,0.6877350839447323
221,KFold,True,5,9,mma,manhattan,0.739572192513369,0.6948855802484801
222,KFold,True,5,10,uniform,euclidean,0.7266021560139208,0.6687189326751144
223,KFold,True,5,10,uniform,manhattan,0.7448433919022154,0.6826222707935529
224,KFold,True,5,10,distance,euclidean,0.7409303115185468,0.7033850330444875
225,KFold,True,5,10,distance,manhattan,0.7291995586113234,0.685022173740948
226,KFold,True,5,10,mma,euclidean,0.7226466344113402,0.6775790378021382
227,KFold,True,5,10,mma,manhattan,0.7421780833545539,0.6982696483155826
228,KFold,True,5,15,uniform,euclidean,0.7500551735845854,0.7059580498725395
229,KFold,True,5,15,uniform,manhattan,0.7355996944232238,0.683224587521818
230,KFold,True,5,15,distance,euclidean,0.7422544775485952,0.6984032458814108
231,KFold,True,5,15,distance,manhattan,0.7304982599100246,0.6786590983195638
232,KFold,True,5,15,mma,euclidean,0.7473728885493591,0.7064946158434263
233,KFold,True,5,15,mma,manhattan,0.7512010864952041,0.7053440826040469
234,KFold,True,5,20,uniform,euclidean,0.7525337407690349,0.6936559369836145
