,cross_val,is_stand,fold,k,weight,metric,acc,f1
384,StratifiedKFold,True,2,9,uniform,euclidean,0.7766710353866317,0.6690067547363512
385,StratifiedKFold,True,2,9,uniform,manhattan,0.808431629532547,0.6644203152041002
386,StratifiedKFold,True,2,9,distance,euclidean,0.8225425950196592,0.6751242095754291
387,StratifiedKFold,True,2,9,distance,manhattan,0.8645259938837921,0.7742393873618847
388,StratifiedKFold,True,2,9,mma,euclidean,0.7895587592835299,0.6407477970806581
389,StratifiedKFold,True,2,9,mma,manhattan,0.8509392747924858,0.7267897266800775
390,StratifiedKFold,True,2,10,uniform,euclidean,0.7802096985583225,0.5606097799702451
391,StratifiedKFold,True,2,10,uniform,manhattan,0.7764962865880297,0.6409956069944827
392,StratifiedKFold,True,2,10,distance,euclidean,0.7987330712101355,0.6173389898300293
393,StratifiedKFold,True,2,10,distance,manhattan,0.827304499781564,0.7646958407527513
394,StratifiedKFold,True,2,10,mma,euclidean,0.8036697247706422,0.5749680618687468
395,StratifiedKFold,True,2,10,mma,manhattan,0.8274792485801661,0.6904039814346736
396,StratifiedKFold,True,2,15,uniform,euclidean,0.7474006116207951,0.6881065849440297
397,StratifiedKFold,True,2,15,uniform,manhattan,0.7757972913936217,0.5779554707889243
398,StratifiedKFold,True,2,15,distance,euclidean,0.7763215377894277,0.5870331658581576
399,StratifiedKFold,True,2,15,distance,manhattan,0.7892092616863259,0.5721407456386454
400,StratifiedKFold,True,2,15,mma,euclidean,0.7526867627785059,0.5937704223411698
401,StratifiedKFold,True,2,15,mma,manhattan,0.808955875928353,0.6866985728107726
402,StratifiedKFold,True,2,20,uniform,euclidean,0.7204019222367846,0.763479855263856
403,StratifiedKFold,True,2,20,uniform,manhattan,0.7523372651813018,0.7946955308017958
404,StratifiedKFold,True,2,20,distance,euclidean,0.808431629532547,0.7399308149993082
405,StratifiedKFold,True,2,20,distance,manhattan,0.8135430318916558,0.7335017231134107
406,StratifiedKFold,True,2,20,mma,euclidean,0.7662734818698121,0.703740631508106
407,StratifiedKFold,True,2,20,mma,manhattan,0.7526867627785059,0.7119191350004245
408,StratifiedKFold,True,2,25,uniform,euclidean,0.7292267365661862,0.8232917198472351
409,StratifiedKFold,True,2,25,uniform,manhattan,0.7059414591524683,0.7903630823502483
410,StratifiedKFold,True,2,25,distance,euclidean,0.7756225425950196,0.7301622152685983
411,StratifiedKFold,True,2,25,distance,manhattan,0.7662734818698121,0.7105360308293553
412,StratifiedKFold,True,2,25,mma,euclidean,0.7574486675404106,0.7011946386946386
413,StratifiedKFold,True,2,25,mma,manhattan,0.7946701616426387,0.6911655654952853
414,StratifiedKFold,True,2,30,uniform,euclidean,0.7152905198776758,0.7941611093174845
415,StratifiedKFold,True,2,30,uniform,manhattan,0.7666229794670162,0.8452856595298703
416,StratifiedKFold,True,2,30,distance,euclidean,0.7474006116207951,0.8342286999255188
417,StratifiedKFold,True,2,30,distance,manhattan,0.7805591961555265,0.6702189097016683
418,StratifiedKFold,True,2,30,mma,euclidean,0.7525120139799039,0.8374865105392415
419,StratifiedKFold,True,2,30,mma,manhattan,0.771734381826125,0.8550522156761995
420,StratifiedKFold,True,3,1,uniform,euclidean,0.8315008210905332,0.7636944502544358
421,StratifiedKFold,True,3,1,uniform,manhattan,0.9014617802125457,0.8635954109693605
422,StratifiedKFold,True,3,1,distance,euclidean,0.8128575605611735,0.7431330815053345
423,StratifiedKFold,True,3,1,distance,manhattan,0.8920178598684416,0.8616851186895342
424,StratifiedKFold,True,3,1,mma,euclidean,0.8362774899823276,0.7845702962313963
425,StratifiedKFold,True,3,1,mma,manhattan,0.8972836890779328,0.8571988029388884
426,StratifiedKFold,True,3,2,uniform,euclidean,0.8035221381822729,0.6795350828890561
427,StratifiedKFold,True,3,2,uniform,manhattan,0.8348900032917179,0.7808130467272761
428,StratifiedKFold,True,3,2,distance,euclidean,0.8459117415026784,0.7962306190510449
429,StratifiedKFold,True,3,2,distance,manhattan,0.882546355295896,0.8451956545417939
430,StratifiedKFold,True,3,2,mma,euclidean,0.864528337277878,0.8141572546510126
431,StratifiedKFold,True,3,2,mma,manhattan,0.9159002848531324,0.8904478205796679
432,StratifiedKFold,True,3,3,uniform,euclidean,0.8506341614118711,0.7812561801848744
433,StratifiedKFold,True,3,3,uniform,manhattan,0.897637686676266,0.85050284242161
434,StratifiedKFold,True,3,3,distance,euclidean,0.8881385978752788,0.8420892125303889
435,StratifiedKFold,True,3,3,distance,manhattan,0.9120210228599696,0.8817718325957792
436,StratifiedKFold,True,3,3,mma,euclidean,0.8487299301751231,0.7471289876531723
437,StratifiedKFold,True,3,3,mma,manhattan,0.8801088289759447,0.8247893005946227
438,StratifiedKFold,True,3,4,uniform,euclidean,0.8182594719643097,0.6915813458541984
439,StratifiedKFold,True,3,4,uniform,manhattan,0.8878397687338287,0.8272450827002649
440,StratifiedKFold,True,3,4,distance,euclidean,0.8694677531174776,0.7876091780534913
441,StratifiedKFold,True,3,4,distance,manhattan,0.8833076800008827,0.814332035287553
442,StratifiedKFold,True,3,4,mma,euclidean,0.8559275748498039,0.7453897795137576
443,StratifiedKFold,True,3,4,mma,manhattan,0.8984532603638543,0.8345170289621687
444,StratifiedKFold,True,3,5,uniform,euclidean,0.8269963165860288,0.7094627091656261
445,StratifiedKFold,True,3,5,uniform,manhattan,0.8795920844298064,0.7870209989198498
446,StratifiedKFold,True,3,5,distance,euclidean,0.8597516683860835,0.804068361858217
